# JMH 1.5.2 (released 215 days ago, please consider updating!)
# VM invoker: /home/my/dev/java/jdk1.8.0_31/jre/bin/java
# VM options: -javaagent:/usr/share/java/jayatanaag.jar
# Warmup: 1000 iterations, single-shot each
# Measurement: 1000 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: fr.soat.LambdaVsAnonymousClassBenchmark.anonymous_class
# Parameters: (nbPersons = 100)

# Warmup Iteration 163: 0,053 ms/op
# Warmup Iteration 164: 0,048 ms/op
# Warmup Iteration 165: 0,056 ms/op
# Warmup Iteration 166: 0,056 ms/op
# Warmup Iteration 167: 0,053 ms/op
# Warmup Iteration 168: 0,058 ms/op
# Warmup Iteration 169: 0,057 ms/op
# Warmup Iteration 170: 0,062 ms/op
# Warmup Iteration 171: 0,067 ms/op
# Warmup Iteration 172: 0,071 ms/op
# Warmup Iteration 173: 0,060 ms/op
# Warmup Iteration 174: 0,060 ms/op
# Warmup Iteration 175: 0,056 ms/op
# Warmup Iteration 176: 0,055 ms/op
# Warmup Iteration 177: 0,066 ms/op
# Warmup Iteration 178: 0,055 ms/op
# Warmup Iteration 179: 0,053 ms/op
# Warmup Iteration 180: 0,050 ms/op
# Warmup Iteration 181: 0,051 ms/op
# Warmup Iteration 182: 0,050 ms/op
# Warmup Iteration 183: 0,051 ms/op
# Warmup Iteration 184: 0,065 ms/op
# Warmup Iteration 185: 0,054 ms/op
# Warmup Iteration 186: 0,197 ms/op
# Warmup Iteration 187: 0,157 ms/op
# Warmup Iteration 188: 0,063 ms/op
# Warmup Iteration 189: 0,117 ms/op
# Warmup Iteration 190: 0,117 ms/op
# Warmup Iteration 191: 0,064 ms/op
# Warmup Iteration 192: 0,066 ms/op
# Warmup Iteration 193: 0,072 ms/op
# Warmup Iteration 194: 0,063 ms/op
# Warmup Iteration 195: 0,051 ms/op
# Warmup Iteration 196: 0,055 ms/op
# Warmup Iteration 197: 0,079 ms/op
# Warmup Iteration 198: 0,067 ms/op
# Warmup Iteration 199: 0,056 ms/op
# Warmup Iteration 200: 0,050 ms/op
# Warmup Iteration 201: 0,051 ms/op
# Warmup Iteration 202: 0,057 ms/op
# Warmup Iteration 203: 0,049 ms/op
# Warmup Iteration 204: 0,050 ms/op
# Warmup Iteration 205: 0,047 ms/op
# Warmup Iteration 206: 0,064 ms/op
# Warmup Iteration 207: 0,136 ms/op
# Warmup Iteration 208: 0,124 ms/op
# Warmup Iteration 209: 0,190 ms/op
# Warmup Iteration 210: 0,057 ms/op
# Warmup Iteration 211: 0,048 ms/op
# Warmup Iteration 212: 0,051 ms/op
# Warmup Iteration 213: 0,074 ms/op
# Warmup Iteration 214: 0,068 ms/op
# Warmup Iteration 215: 0,062 ms/op
# Warmup Iteration 216: 0,068 ms/op
# Warmup Iteration 217: 0,062 ms/op
# Warmup Iteration 218: 0,065 ms/op
# Warmup Iteration 219: 0,049 ms/op
# Warmup Iteration 220: 0,058 ms/op
# Warmup Iteration 221: 0,054 ms/op
# Warmup Iteration 222: 0,051 ms/op
# Warmup Iteration 223: 0,048 ms/op
# Warmup Iteration 224: 0,046 ms/op
# Warmup Iteration 225: 0,049 ms/op
# Warmup Iteration 226: 0,058 ms/op
# Warmup Iteration 227: 0,053 ms/op
# Warmup Iteration 228: 0,052 ms/op
# Warmup Iteration 229: 0,052 ms/op
# Warmup Iteration 230: 0,056 ms/op
# Warmup Iteration 231: 0,066 ms/op
# Warmup Iteration 232: 0,057 ms/op
# Warmup Iteration 233: 0,057 ms/op
# Warmup Iteration 234: 0,049 ms/op
# Warmup Iteration 235: 0,068 ms/op
# Warmup Iteration 236: 0,055 ms/op
# Warmup Iteration 237: 0,055 ms/op
# Warmup Iteration 238: 0,055 ms/op
# Warmup Iteration 239: 0,051 ms/op
# Warmup Iteration 240: 0,061 ms/op
# Warmup Iteration 241: 0,054 ms/op
# Warmup Iteration 242: 0,064 ms/op
# Warmup Iteration 243: 0,053 ms/op
# Warmup Iteration 244: 0,051 ms/op
# Warmup Iteration 245: 0,045 ms/op
# Warmup Iteration 246: 0,044 ms/op
# Warmup Iteration 247: 0,067 ms/op
# Warmup Iteration 248: 0,114 ms/op
# Warmup Iteration 249: 0,116 ms/op
# Warmup Iteration 250: 0,144 ms/op
# Warmup Iteration 251: 0,055 ms/op
# Warmup Iteration 252: 0,142 ms/op
# Warmup Iteration 253: 0,123 ms/op
# Warmup Iteration 254: 0,052 ms/op
# Warmup Iteration 255: 0,066 ms/op
# Warmup Iteration 256: 0,073 ms/op
# Warmup Iteration 257: 0,062 ms/op
# Warmup Iteration 258: 0,049 ms/op
# Warmup Iteration 259: 0,047 ms/op
# Warmup Iteration 260: 0,068 ms/op
# Warmup Iteration 261: 0,052 ms/op
# Warmup Iteration 262: 0,047 ms/op
# Warmup Iteration 263: 0,045 ms/op
# Warmup Iteration 264: 0,045 ms/op
# Warmup Iteration 265: 0,058 ms/op
# Warmup Iteration 266: 0,049 ms/op
# Warmup Iteration 267: 0,049 ms/op
# Warmup Iteration 268: 0,049 ms/op
# Warmup Iteration 269: 0,054 ms/op
# Warmup Iteration 270: 0,065 ms/op
# Warmup Iteration 271: 0,057 ms/op
# Warmup Iteration 272: 0,056 ms/op
# Warmup Iteration 273: 0,069 ms/op
# Warmup Iteration 274: 0,054 ms/op
# Warmup Iteration 275: 0,169 ms/op
# Warmup Iteration 276: 0,072 ms/op
# Warmup Iteration 277: 0,060 ms/op
# Warmup Iteration 278: 0,118 ms/op
# Warmup Iteration 279: 0,165 ms/op
# Warmup Iteration 280: 0,291 ms/op
# Warmup Iteration 281: 0,064 ms/op
# Warmup Iteration 282: 0,054 ms/op
# Warmup Iteration 283: 0,050 ms/op
# Warmup Iteration 284: 0,070 ms/op
# Warmup Iteration 285: 0,051 ms/op
