# JMH 1.5.2 (released 215 days ago, please consider updating!)
# VM invoker: /home/my/dev/java/jdk1.8.0_31/jre/bin/java
# VM options: -javaagent:/usr/share/java/jayatanaag.jar
# Warmup: 5000 iterations, single-shot each
# Measurement: 5000 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: fr.soat.LambdaVsAnonymousClassBenchmark.anonymous_class
# Parameters: (nbPersons = 6400)

# Run progress: 0,00% complete, ETA 00:01:40
# Fork: 1 of 1
Picked up JAVA_TOOL_OPTIONS: -javaagent:/usr/share/java/jayatanaag.jar 
# Warmup Iteration 210: 3,268 ms/op
# Warmup Iteration 211: 2,885 ms/op
# Warmup Iteration 212: 3,442 ms/op
# Warmup Iteration 213: 6,250 ms/op
# Warmup Iteration 214: 2,967 ms/op
# Warmup Iteration 215: 2,683 ms/op
# Warmup Iteration 216: 2,601 ms/op
# Warmup Iteration 217: 2,648 ms/op
# Warmup Iteration 218: 2,615 ms/op
# Warmup Iteration 219: 2,660 ms/op
# Warmup Iteration 220: 2,816 ms/op
# Warmup Iteration 221: 3,951 ms/op
# Warmup Iteration 222: 3,674 ms/op
# Warmup Iteration 223: 2,845 ms/op
# Warmup Iteration 224: 2,772 ms/op
# Warmup Iteration 225: 3,082 ms/op
# Warmup Iteration 226: 3,304 ms/op
# Warmup Iteration 227: 3,100 ms/op
# Warmup Iteration 228: 2,866 ms/op
# Warmup Iteration 229: 3,103 ms/op
# Warmup Iteration 230: 3,972 ms/op
# Warmup Iteration 231: 3,807 ms/op
# Warmup Iteration 232: 3,117 ms/op
# Warmup Iteration 233: 3,123 ms/op
# Warmup Iteration 234: 3,046 ms/op
# Warmup Iteration 235: 3,294 ms/op
# Warmup Iteration 236: 2,824 ms/op
# Warmup Iteration 237: 3,590 ms/op
# Warmup Iteration 238: 3,196 ms/op
# Warmup Iteration 239: 5,836 ms/op
# Warmup Iteration 240: 2,852 ms/op
# Warmup Iteration 241: 2,783 ms/op
# Warmup Iteration 242: 2,841 ms/op
# Warmup Iteration 243: 2,786 ms/op
# Warmup Iteration 244: 2,870 ms/op
# Warmup Iteration 245: 2,773 ms/op
# Warmup Iteration 246: 2,759 ms/op
# Warmup Iteration 247: 3,028 ms/op
# Warmup Iteration 248: 5,452 ms/op
# Warmup Iteration 249: 2,922 ms/op
# Warmup Iteration 250: 2,897 ms/op
# Warmup Iteration 251: 2,938 ms/op
# Warmup Iteration 252: 3,093 ms/op
# Warmup Iteration 253: 3,248 ms/op
# Warmup Iteration 254: 3,359 ms/op
# Warmup Iteration 255: 2,933 ms/op
# Warmup Iteration 256: 6,357 ms/op
# Warmup Iteration 257: 3,136 ms/op
# Warmup Iteration 258: 3,033 ms/op
# Warmup Iteration 259: 3,023 ms/op
# Warmup Iteration 260: 2,969 ms/op
# Warmup Iteration 261: 2,989 ms/op
# Warmup Iteration 262: 2,856 ms/op
# Warmup Iteration 263: 2,633 ms/op
# Warmup Iteration 264: 2,757 ms/op
# Warmup Iteration 265: 4,962 ms/op
# Warmup Iteration 266: 3,080 ms/op
# Warmup Iteration 267: 2,636 ms/op
# Warmup Iteration 268: 2,617 ms/op
# Warmup Iteration 269: 3,101 ms/op
# Warmup Iteration 270: 2,805 ms/op
# Warmup Iteration 271: 3,104 ms/op
# Warmup Iteration 272: 2,960 ms/op
# Warmup Iteration 273: 4,127 ms/op
# Warmup Iteration 274: 4,559 ms/op
# Warmup Iteration 275: 3,162 ms/op
# Warmup Iteration 276: 2,608 ms/op
# Warmup Iteration 277: 2,606 ms/op
