# JMH 1.5.2 (released 231 days ago, please consider updating!)
# VM invoker: /home/my/dev/java/jdk1.8.0_31/jre/bin/java
# VM options: -javaagent:/usr/share/java/jayatanaag.jar
# Warmup: 1000 iterations, single-shot each
# Measurement: 1000 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: fr.soat.LambdaVsAnonymousClassBenchmark.parallel_anonymous_class
# Parameters: (nbPersons = 10)

# Warmup Iteration 208: 0,008 ms/op
# Warmup Iteration 209: 0,009 ms/op
# Warmup Iteration 210: 0,009 ms/op
# Warmup Iteration 211: 0,007 ms/op
# Warmup Iteration 212: 0,007 ms/op
# Warmup Iteration 213: 0,012 ms/op
# Warmup Iteration 214: 0,008 ms/op
# Warmup Iteration 215: 0,007 ms/op
# Warmup Iteration 216: 0,007 ms/op
# Warmup Iteration 217: 0,007 ms/op
# Warmup Iteration 218: 0,007 ms/op
# Warmup Iteration 219: 0,007 ms/op
# Warmup Iteration 220: 0,007 ms/op
# Warmup Iteration 221: 0,007 ms/op
# Warmup Iteration 222: 0,007 ms/op
# Warmup Iteration 223: 0,008 ms/op
# Warmup Iteration 224: 0,008 ms/op
# Warmup Iteration 225: 0,008 ms/op
# Warmup Iteration 226: 0,009 ms/op
# Warmup Iteration 227: 0,026 ms/op
# Warmup Iteration 228: 0,029 ms/op
# Warmup Iteration 229: 0,009 ms/op
# Warmup Iteration 230: 0,008 ms/op
# Warmup Iteration 231: 0,011 ms/op
# Warmup Iteration 232: 0,011 ms/op
# Warmup Iteration 233: 0,007 ms/op
# Warmup Iteration 234: 0,007 ms/op
# Warmup Iteration 235: 0,008 ms/op
# Warmup Iteration 236: 0,007 ms/op
# Warmup Iteration 237: 0,009 ms/op
# Warmup Iteration 238: 0,007 ms/op
# Warmup Iteration 239: 0,012 ms/op
# Warmup Iteration 240: 0,009 ms/op
# Warmup Iteration 241: 0,007 ms/op
# Warmup Iteration 242: 0,009 ms/op
# Warmup Iteration 243: 0,007 ms/op
# Warmup Iteration 244: 0,008 ms/op
# Warmup Iteration 245: 0,008 ms/op
# Warmup Iteration 246: 0,012 ms/op
# Warmup Iteration 247: 0,025 ms/op
# Warmup Iteration 248: 0,009 ms/op
# Warmup Iteration 249: 0,009 ms/op
# Warmup Iteration 250: 0,030 ms/op
# Warmup Iteration 251: 0,008 ms/op
# Warmup Iteration 252: 0,010 ms/op
# Warmup Iteration 253: 0,009 ms/op
# Warmup Iteration 254: 0,009 ms/op
# Warmup Iteration 255: 0,010 ms/op
# Warmup Iteration 256: 0,014 ms/op
# Warmup Iteration 257: 0,011 ms/op
# Warmup Iteration 258: 0,009 ms/op
# Warmup Iteration 259: 0,008 ms/op
# Warmup Iteration 260: 0,008 ms/op
# Warmup Iteration 261: 0,008 ms/op
# Warmup Iteration 262: 0,011 ms/op
# Warmup Iteration 263: 0,011 ms/op
# Warmup Iteration 264: 0,009 ms/op
# Warmup Iteration 265: 0,009 ms/op
# Warmup Iteration 266: 0,009 ms/op
# Warmup Iteration 267: 0,007 ms/op
# Warmup Iteration 268: 0,007 ms/op
# Warmup Iteration 269: 0,007 ms/op
# Warmup Iteration 270: 0,007 ms/op
# Warmup Iteration 271: 0,035 ms/op
# Warmup Iteration 272: 0,024 ms/op
# Warmup Iteration 273: 0,028 ms/op
# Warmup Iteration 274: 0,009 ms/op
# Warmup Iteration 275: 0,010 ms/op
# Warmup Iteration 276: 0,010 ms/op
# Warmup Iteration 277: 0,008 ms/op
# Warmup Iteration 278: 0,010 ms/op
# Warmup Iteration 279: 0,012 ms/op
# Warmup Iteration 280: 0,009 ms/op
# Warmup Iteration 281: 0,008 ms/op
# Warmup Iteration 282: 0,012 ms/op
# Warmup Iteration 283: 0,010 ms/op
# Warmup Iteration 284: 0,008 ms/op
# Warmup Iteration 285: 0,010 ms/op
# Warmup Iteration 286: 0,007 ms/op
# Warmup Iteration 287: 0,007 ms/op
