# Warmup Iteration  18: 5,903 ops/s
# Warmup Iteration  19: 5,942 ops/s
# Warmup Iteration  20: 5,938 ops/s
Iteration   1: 5,943 ops/s
Iteration   2: 5,919 ops/s
Iteration   3: 5,866 ops/s
Iteration   4: 5,809 ops/s
Iteration   5: 5,923 ops/s
Iteration   6: 5,841 ops/s
Iteration   7: 5,871 ops/s
Iteration   8: 5,960 ops/s
Iteration   9: 5,895 ops/s
Iteration  10: 5,893 ops/s
Iteration  11: 5,827 ops/s
Iteration  12: 5,834 ops/s
Iteration  13: 5,942 ops/s
Iteration  14: 5,930 ops/s
Iteration  15: 5,935 ops/s
Iteration  16: 5,782 ops/s
Iteration  17: 5,904 ops/s
Iteration  18: 5,949 ops/s
Iteration  19: 5,771 ops/s
Iteration  20: 5,806 ops/s


Result: 5,880 ±(99.9%) 0,052 ops/s [Average]
  Statistics: (min, avg, max) = (5,771, 5,880, 5,960), stdev = 0,060
  Confidence interval (99.9%): [5,828, 5,932]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassMergeSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 800000)

# Run progress: 42,86% complete, ETA 00:12:38
# Fork: 1 of 1
# Warmup Iteration   1: 2,403 ops/s
# Warmup Iteration   2: 2,551 ops/s
# Warmup Iteration   3: 2,474 ops/s
# Warmup Iteration   4: 2,489 ops/s
# Warmup Iteration   5: 2,497 ops/s
# Warmup Iteration   6: 2,510 ops/s
# Warmup Iteration   7: 2,486 ops/s
# Warmup Iteration   8: 2,473 ops/s
# Warmup Iteration   9: 2,523 ops/s
# Warmup Iteration  10: 2,531 ops/s
# Warmup Iteration  11: 2,528 ops/s
# Warmup Iteration  12: 2,476 ops/s
# Warmup Iteration  13: 2,491 ops/s
# Warmup Iteration  14: 2,512 ops/s
# Warmup Iteration  15: 2,507 ops/s
# Warmup Iteration  16: 2,518 ops/s
# Warmup Iteration  17: 2,536 ops/s
# Warmup Iteration  18: 2,526 ops/s
# Warmup Iteration  19: 2,473 ops/s
# Warmup Iteration  20: 2,478 ops/s
Iteration   1: 2,499 ops/s
Iteration   2: 2,458 ops/s
Iteration   3: 2,473 ops/s
Iteration   4: 2,511 ops/s
Iteration   5: 2,511 ops/s
Iteration   6: 2,450 ops/s
Iteration   7: 2,464 ops/s
Iteration   8: 2,406 ops/s
Iteration   9: 2,471 ops/s
Iteration  10: 2,463 ops/s
Iteration  11: 2,467 ops/s
Iteration  12: 2,530 ops/s
Iteration  13: 2,528 ops/s
Iteration  14: 2,533 ops/s
Iteration  15: 2,527 ops/s
Iteration  16: 2,470 ops/s
Iteration  17: 2,520 ops/s
Iteration  18: 2,522 ops/s
Iteration  19: 2,521 ops/s
Iteration  20: 2,455 ops/s


Result: 2,489 ±(99.9%) 0,031 ops/s [Average]
  Statistics: (min, avg, max) = (2,406, 2,489, 2,533), stdev = 0,036
  Confidence interval (99.9%): [2,458, 2,520]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 5000)

# Run progress: 50,00% complete, ETA 00:11:56
# Fork: 1 of 1
# Warmup Iteration   1: 1079,410 ops/s
# Warmup Iteration   2: 1321,435 ops/s
# Warmup Iteration   3: 1325,677 ops/s
# Warmup Iteration   4: 1341,616 ops/s
# Warmup Iteration   5: 1288,527 ops/s
# Warmup Iteration   6: 1238,648 ops/s
# Warmup Iteration   7: 1375,186 ops/s
# Warmup Iteration   8: 1310,168 ops/s
# Warmup Iteration   9: 1311,621 ops/s
# Warmup Iteration  10: 1309,098 ops/s
# Warmup Iteration  11: 1320,874 ops/s
# Warmup Iteration  12: 1379,166 ops/s
# Warmup Iteration  13: 1312,556 ops/s
# Warmup Iteration  14: 1302,539 ops/s
# Warmup Iteration  15: 1364,656 ops/s
# Warmup Iteration  16: 1325,110 ops/s
# Warmup Iteration  17: 1320,254 ops/s
# Warmup Iteration  18: 1330,833 ops/s
# Warmup Iteration  19: 1332,378 ops/s
# Warmup Iteration  20: 1383,597 ops/s
Iteration   1: 1274,355 ops/s
Iteration   2: 1298,041 ops/s
Iteration   3: 1331,897 ops/s
Iteration   4: 1298,328 ops/s
Iteration   5: 1322,440 ops/s
Iteration   6: 1352,097 ops/s
Iteration   7: 1342,985 ops/s
Iteration   8: 1301,072 ops/s
Iteration   9: 1328,662 ops/s
Iteration  10: 1303,207 ops/s
Iteration  11: 1309,860 ops/s
Iteration  12: 1350,280 ops/s
Iteration  13: 1344,637 ops/s
Iteration  14: 1376,061 ops/s
Iteration  15: 1367,055 ops/s
Iteration  16: 1332,051 ops/s
Iteration  17: 1292,975 ops/s
Iteration  18: 1371,205 ops/s
Iteration  19: 1340,503 ops/s
Iteration  20: 1298,517 ops/s


Result: 1326,811 ±(99.9%) 25,114 ops/s [Average]
  Statistics: (min, avg, max) = (1274,355, 1326,811, 1376,061), stdev = 28,921
  Confidence interval (99.9%): [1301,698, 1351,925]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 10000)

# Run progress: 57,14% complete, ETA 00:10:03
# Fork: 1 of 1
# Warmup Iteration   1: 475,372 ops/s
# Warmup Iteration   2: 594,224 ops/s
# Warmup Iteration   3: 596,738 ops/s
# Warmup Iteration   4: 624,435 ops/s
# Warmup Iteration   5: 600,001 ops/s
# Warmup Iteration   6: 590,213 ops/s
# Warmup Iteration   7: 603,084 ops/s
# Warmup Iteration   8: 600,570 ops/s
# Warmup Iteration   9: 595,872 ops/s
# Warmup Iteration  10: 582,685 ops/s
# Warmup Iteration  11: 608,860 ops/s
# Warmup Iteration  12: 596,202 ops/s
# Warmup Iteration  13: 614,522 ops/s
# Warmup Iteration  14: 608,053 ops/s
# Warmup Iteration  15: 599,791 ops/s
# Warmup Iteration  16: 613,717 ops/s
# Warmup Iteration  17: 621,392 ops/s
# Warmup Iteration  18: 554,844 ops/s
# Warmup Iteration  19: 619,921 ops/s
# Warmup Iteration  20: 613,603 ops/s
Iteration   1: 611,677 ops/s
Iteration   2: 582,531 ops/s
Iteration   3: 618,186 ops/s
Iteration   4: 614,891 ops/s
Iteration   5: 606,561 ops/s
Iteration   6: 605,381 ops/s
Iteration   7: 582,878 ops/s
Iteration   8: 567,431 ops/s
Iteration   9: 592,852 ops/s
Iteration  10: 584,305 ops/s
Iteration  11: 610,203 ops/s
Iteration  12: 581,435 ops/s
Iteration  13: 591,050 ops/s
Iteration  14: 601,635 ops/s
Iteration  15: 600,073 ops/s
Iteration  16: 605,828 ops/s
Iteration  17: 573,826 ops/s
Iteration  18: 606,081 ops/s
Iteration  19: 601,876 ops/s
Iteration  20: 614,263 ops/s


Result: 597,648 ±(99.9%) 12,758 ops/s [Average]
  Statistics: (min, avg, max) = (567,431, 597,648, 618,186), stdev = 14,692
  Confidence interval (99.9%): [584,890, 610,406]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
