# JMH 1.5.2 (released 220 days ago, please consider updating!)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -javaagent:/usr/share/java/jayatanaag.jar
# Warmup: 1000 iterations, single-shot each
# Measurement: 1000 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: fr.soat.BaselineJava7Benchmark.anonymous_class
# Parameters: (nbPersons = 100)

# Run progress: 0,00% complete, ETA 00:00:22
# Fork: 1 of 1
Picked up JAVA_TOOL_OPTIONS: -javaagent:/usr/share/java/jayatanaag.jar 
# Warmup Iteration 147: 0,055 ms/op
# Warmup Iteration 148: 0,058 ms/op
# Warmup Iteration 149: 0,055 ms/op
# Warmup Iteration 150: 0,057 ms/op
# Warmup Iteration 151: 0,056 ms/op
# Warmup Iteration 152: 0,056 ms/op
# Warmup Iteration 153: 0,062 ms/op
# Warmup Iteration 154: 0,056 ms/op
# Warmup Iteration 155: 0,108 ms/op
# Warmup Iteration 156: 0,066 ms/op
# Warmup Iteration 157: 0,135 ms/op
# Warmup Iteration 158: 0,064 ms/op
# Warmup Iteration 159: 0,059 ms/op
# Warmup Iteration 160: 0,062 ms/op
# Warmup Iteration 161: 0,058 ms/op
# Warmup Iteration 162: 0,058 ms/op
# Warmup Iteration 163: 0,058 ms/op
# Warmup Iteration 164: 0,059 ms/op
# Warmup Iteration 165: 0,060 ms/op
# Warmup Iteration 166: 0,073 ms/op
# Warmup Iteration 167: 0,060 ms/op
# Warmup Iteration 168: 0,055 ms/op
# Warmup Iteration 169: 0,059 ms/op
# Warmup Iteration 170: 0,059 ms/op
# Warmup Iteration 171: 0,058 ms/op
# Warmup Iteration 172: 0,060 ms/op
# Warmup Iteration 173: 0,060 ms/op
# Warmup Iteration 174: 0,059 ms/op
# Warmup Iteration 175: 0,061 ms/op
# Warmup Iteration 176: 0,060 ms/op
# Warmup Iteration 177: 0,063 ms/op
# Warmup Iteration 178: 0,073 ms/op
# Warmup Iteration 179: 0,058 ms/op
# Warmup Iteration 180: 0,060 ms/op
# Warmup Iteration 181: 0,062 ms/op
# Warmup Iteration 182: 0,063 ms/op
# Warmup Iteration 183: 0,062 ms/op
# Warmup Iteration 184: 0,060 ms/op
# Warmup Iteration 185: 0,060 ms/op
# Warmup Iteration 186: 0,092 ms/op
# Warmup Iteration 187: 0,070 ms/op
# Warmup Iteration 188: 0,119 ms/op
# Warmup Iteration 189: 0,065 ms/op
# Warmup Iteration 190: 0,060 ms/op
# Warmup Iteration 191: 0,080 ms/op
# Warmup Iteration 192: 0,057 ms/op
# Warmup Iteration 193: 0,062 ms/op
# Warmup Iteration 194: 0,058 ms/op
# Warmup Iteration 195: 0,062 ms/op
# Warmup Iteration 196: 0,058 ms/op
# Warmup Iteration 197: 0,114 ms/op
# Warmup Iteration 198: 0,090 ms/op
# Warmup Iteration 199: 0,089 ms/op
# Warmup Iteration 200: 0,086 ms/op
# Warmup Iteration 201: 0,061 ms/op
# Warmup Iteration 202: 0,062 ms/op
# Warmup Iteration 203: 0,101 ms/op
# Warmup Iteration 204: 0,102 ms/op
# Warmup Iteration 205: 0,066 ms/op
# Warmup Iteration 206: 0,062 ms/op
# Warmup Iteration 207: 0,062 ms/op
# Warmup Iteration 208: 0,061 ms/op
# Warmup Iteration 209: 0,062 ms/op
# Warmup Iteration 210: 0,064 ms/op
# Warmup Iteration 211: 0,064 ms/op
# Warmup Iteration 212: 0,064 ms/op
# Warmup Iteration 213: 0,066 ms/op
# Warmup Iteration 214: 0,095 ms/op
# Warmup Iteration 215: 0,081 ms/op
# Warmup Iteration 216: 0,079 ms/op
# Warmup Iteration 217: 0,088 ms/op
# Warmup Iteration 218: 0,064 ms/op
# Warmup Iteration 219: 0,062 ms/op
# Warmup Iteration 220: 0,066 ms/op
# Warmup Iteration 221: 0,064 ms/op
# Warmup Iteration 222: 0,061 ms/op
# Warmup Iteration 223: 0,065 ms/op
# Warmup Iteration 224: 0,063 ms/op
# Warmup Iteration 225: 0,066 ms/op
# Warmup Iteration 226: 0,063 ms/op
# Warmup Iteration 227: 0,061 ms/op
# Warmup Iteration 228: 0,061 ms/op
# Warmup Iteration 229: 0,064 ms/op
# Warmup Iteration 230: 0,097 ms/op
# Warmup Iteration 231: 0,099 ms/op
# Warmup Iteration 232: 0,089 ms/op
# Warmup Iteration 233: 0,090 ms/op
# Warmup Iteration 234: 0,113 ms/op
# Warmup Iteration 235: 0,165 ms/op
# Warmup Iteration 236: 0,110 ms/op
# Warmup Iteration 237: 0,096 ms/op
# Warmup Iteration 238: 0,088 ms/op
# Warmup Iteration 239: 0,086 ms/op
# Warmup Iteration 240: 0,092 ms/op
# Warmup Iteration 241: 0,089 ms/op
# Warmup Iteration 242: 0,093 ms/op
# Warmup Iteration 243: 0,090 ms/op
